bookID,title,authors,average_rating,isbn13,language,num_pages,ratings_count,text_reviews_count,publisher,publication_year,age
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57,9780439785969,English,652,2095690,27591,Scholastic Inc.,2006,16
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49,9780439358071,English,870,2153167,29221,Scholastic Inc.,2004,18
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42,9780439554893,English,352,6333,244,Scholastic,2003,19
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56,9780439655484,English,435,2339585,36325,Scholastic Inc.,2004,18
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74,9780976540601,English,152,19,1,Nimble Books,2005,17
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9780517226957,English,815,3628,254,Gramercy Books,2005,17
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9780345453747,English,815,249558,4080,Del Rey Books,2002,20
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22,9781400052929,English,215,4930,460,Crown,2004,18
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,9780739322208,English,6,1266,253,Random House Audio,2005,17
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,9780517149256,English,815,2877,195,Wings Books,1996,26
21,A Short History of Nearly Everything,Bill Bryson,4.21,9780767908184,English,544,248558,9396,Broadway Books,2004,18
22,Bill Bryson's African Diary,Bill Bryson,3.44,9780767915069,English,55,7270,499,Broadway Books,2002,20
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,9780767910439,English,256,2088,131,Broadway Books,2004,18
24,In a Sunburned Country,Bill Bryson,4.07,9780767903868,English,335,72451,4245,Broadway Books,2001,21
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,9780767903820,English,304,49240,2211,Broadway Books,2000,22
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,9780060920081,English,299,45712,2257,William Morrow Paperbacks,1990,32
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,9780380713806,English,254,48701,2238,William Morrow Paperbacks,1993,29
28,Notes from a Small Island,Bill Bryson,3.91,9780380727506,English,324,80609,3301,William Morrow Paperbacks,1997,25
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,9780380715435,English,270,28489,2085,William Morrow Paperbacks,1991,31
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,9780618346257,English,398,2128944,13670,Houghton Mifflin Harcourt,2003,19
